country,day,flag_tsunami,id,location_name,month,region_code,Regions,state,year,Damage ($ Millions),damage_description,deaths_description,eq_mag_mb,eq_mag_mfa,eq_mag_ml,eq_mag_ms,eq_mag_mw,eq_mag_unk,focal_depth,hour,houses_damaged,houses_damaged_description,houses_destroyed_description,injuries_description,Intensity,latitude,longitude,Magnitude,minute,missing_description,Number of deaths,Number of Houses Destroyed,Number of Injuries,Number of Missing Persons,second,total_damage_description,total_damage_millions_dollars,total_deaths,total_deaths_description,total_houses_damaged,total_houses_damaged_description,total_houses_destroyed,total_houses_destroyed_description,total_injuries,total_injuries_description,total_missing,total_missing_description
USA,2,Y,9839,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,9,North America and Hawaii,North America and Hawaii,AK,2011,0,0,0,6.5,0,0,6.9,6.8,0,32,10,0,0,0,0,0,52.171,-171.708,6.8,55,0,0,0,0,0,53.5,0,0,0,0,0,0,0,0,0,0,0,0
USA,23,Y,10100,ALASKA:  ALEUTIAN ISLANDS,6,North America and Hawaii,North America and Hawaii,AK,2014,0,0,0,0,0,0,0,7.9,0,109,20,0,0,0,0,0,51.849,178.735,7.9,53,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
USA,25,Y,10107,ALASKA:  SOUTHEASTERN,7,North America and Hawaii,North America and Hawaii,AK,2014,0,0,0,,0,0,0,6.1,0,10,10,0,0,0,0,4,58.306,-136.96,6.1,55,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
USA,27,Y,10157,ALASKA,7,North America and Hawaii,North America and Hawaii,AK,2015,0,0,0,0,0,0,0,6.9,0,23,4,0,0,0,0,0,52.214,-169.399,6.9,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUBA,3,Y,3484,CUBA: SANTIAGO DE CUBA,2,Caribbean,Caribbean,0,1932,0,3,1,0,0,0,0,0,5.4,0,6,0,0,0,0,0,20,-75.8,5.4,16,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUBA,15,Y,6342,CUBA: SANTA CLARA,8,Caribbean,Caribbean,0,1939,0,0,0,5.6,0,0,0,0,0,0,3,0,0,0,0,8,22.2,-79.1,5.6,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIJI,8,N,3486,"FIJI ISLANDS:  KORO,MUDU,SUVASAVU",3,Central and South Pacific,Central and South Pacific,0,1932,0,2,0,0,0,0,0,0,6.2,0,18,0,0,0,0,7,-17.5,179.6,6.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIJI,16,N,3594,FIJI ISLANDS,4,Central and South Pacific,Central and South Pacific,0,1937,0,0,0,0,0,0,8.1,0,0,400,3,0,0,0,0,0,-21.5,-177,8.1,1,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
FIJI,23,N,4096,FIJI ISLANDS,5,Central and South Pacific,Central and South Pacific,0,1956,0,0,0,0,0,0,0,0,7.5,430,20,0,0,0,0,0,-15,-179,7.5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIJI,28,N,4144,FIJI ISLANDS,9,Central and South Pacific,Central and South Pacific,0,1957,0,0,0,0,0,0,0,0,7.5,549,14,0,0,0,0,0,-20.4,-178.5,7.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
